accompaniment_interaction_score,cadence_preparation_score,case_id,final_melody_fingerprint,final_melody_range,final_score_musicality_proxy,hardcoded_shape_fallback_used,mechanical_repetition_penalty,melody_expectation_score,melody_generation_source,motif_development_score,pass,phrase_contour_score,style,style_phrase_match_score,target_tone_hit_rate,tension_release_curve_match_score
0.75,1.0,jazz_phrase_guide_tones,"0,5,7,2,-2,-4|-7,2,7|-3,0,-4|7,-1,0|-2,5,7|0,-5|0,0|5,0",14,0.7667,False,0.0,0.7483,phrase_melody_engine,0.4286,1.0,0.9143,jazz,0.6286,0.6286,0.6624
0.75,1.0,pop_hook_variation,"2,-2,0|0,-1,1|2,-3,1,-1|0,0|0,0|0,0|-1,3,-2,0|0,5",7,0.6777,False,0.25,0.9521,phrase_melody_engine,0.1429,1.0,0.7714,pop,0.4929,0.9091,0.778
0.75,1.0,classical_period,"4,0|2,2,3,-7|-2,2,-2,4|0,-5|2,3,0,-1,1|2,2,0,3|-1,1|-1,1",14,0.6625,False,0.125,0.9135,phrase_melody_engine,0.0714,1.0,0.7714,classical,0.6286,0.6286,0.8058
0.75,1.0,romantic_long_line,"4,3,5,0|2,4,1,0|7,5,0,0|0,-7|-3,3,5,0|5,-5|5,7,0|0,0,-7",19,0.8479,False,0.0,0.8006,phrase_melody_engine,0.1429,1.0,1.0,romantic,1.0,0.9444,0.6856
0.75,1.0,chinese_open_space,"2,-2,-3|2,-2,-2,2|0,5,-5|0,0|0,0|4,-4,0,0|0,5,-5,0|0,0",16,0.825,False,0.25,0.9392,phrase_melody_engine,0.2857,1.0,1.0,chinese,1.0,0.9143,0.8142
0.75,1.0,cyberpunk_cell,"-2,-5,7,-3|-3,-4|-3,5,-2|0,-7|0,-7,7|-7,0|0,2|0,-7",12,0.7242,False,0.125,0.7077,phrase_melody_engine,0.0714,1.0,0.9143,cyberpunk,1.0,0.4848,0.8283
