source,dotted_rhythm_ratio,eighth_note_ratio,quarter_note_ratio,rest_ratio,sixteenth_note_ratio,syncopation_ratio,triplet_ratio
examples\scores\20260627T162313753230Z.musicxml,0.0,0.0,1.0,0.0,0.0,0.0,0.0
examples\scores\20260627T162900357847Z.musicxml,0.0,0.0,1.0,0.0,0.0,0.0,0.0
examples\scores\20260627T163136556317Z.musicxml,0.0,0.0,1.0,0.0,0.0,0.0,0.0
